onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5015	55.9928	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	5.0015
65.5014	32.7193	sequential	response	active	sounds/track15.wav	black	red	false	68.0014
114.5197	55.9761	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	117.0197
177.5028	15.9854	augmented	response	active	sounds/track10.wav	black	black	true	180.0028
205.499	55.9929	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	207.999
268.5155	4.6566	concurrent	response	memory	n/a	red	black	false	271.0155
289.5043	55.9928	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	292.0043
352.5042	4.5566	augmented	response	memory	n/a	red	red	true	355.0042
373.5263	55.9762	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	376.0263
436.4929	6.7753	sequential	response	memory	n/a	red	black	false	438.9929
457.4984	55.9927	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	459.9984
520.4982	11.6303	concurrent	response	active	sounds/track3.wav	black	black	true	522.9982
