onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5105	55.9822	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	5.0105
65.5089	56.0195	augmented	response	active	sounds/track10.wav	black	black	true	68.0089
135.5058	55.9761	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	138.0058
198.5017	6.8361	sequential	response	memory	n/a	red	red	true	201.0017
219.5016	55.9867	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	222.0016
282.4983	55.9918	sequential	response	active	sounds/track15.wav	black	black	true	284.9983
352.5122	55.9852	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	355.0122
415.4925	15.2337	concurrent	response	active	sounds/track3.wav	black	black	true	417.9925
443.5073	55.9854	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	446.0073
506.489	7.3495	augmented	response	memory	n/a	red	red	true	508.989
527.5035	55.9748	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	530.0035
590.5005	3.8024	concurrent	response	memory	n/a	red	red	true	593.0005
