onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5015	55.9927	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	5.0015
65.5013	1.6867	sequential	response	memory	n/a	red	black	False	68.0013
79.4994	55.9927	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	81.9994
142.4992	1.0691	augmented	response	memory	n/a	red	red	True	144.9992
156.4972	55.9928	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	158.9972
219.5138	4.1892	augmented	response	active	sounds/track10.wav	black	red	False	222.0138
233.5118	55.9927	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	236.0118
296.5115	0.9192	concurrent	response	memory	n/a	red	black	False	299.0115
310.5096	55.9929	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	313.0096
373.5095	6.8422	concurrent	response	active	sounds/track3.wav	black	red	False	376.0095
394.5149	56.0091	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	397.0149
457.498	10.6798	sequential	response	active	sounds/track15.wav	black	red	False	459.998
