onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5117	55.98	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	5.0117
65.5252	13.4226	concurrent	response	active	sounds/track5.wav	red	black	false	68.0252
93.5243	55.9804	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	96.0243
156.5044	45.1594	augmented	response	active	sounds/track11.wav	black	black	true	159.0044
212.5177	55.9793	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	215.0177
275.5145	5.935	concurrent	response	memory	n/a	black	red	false	278.0145
296.5137	55.975	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	299.0137
359.5109	11.0945	augmented	response	memory	n/a	black	black	true	362.0109
380.5265	55.9816	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	383.0265
443.5243	9.5335	sequential	response	memory	n/a	red	black	false	446.0243
464.5226	55.974	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	467.0226
527.5192	9.9185	sequential	response	active	sounds/track18.wav	red	red	true	530.0192
