onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5015	55.9927	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	5.0015
65.5178	3.8057	augmented	response	memory	n/a	black	black	true	68.0178
79.4992	55.9927	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	81.9992
142.5323	12.5969	sequential	response	active	sounds/track18.wav	red	red	true	145.0323
170.5117	55.9761	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	173.0117
233.5282	4.3897	concurrent	response	memory	n/a	black	red	false	236.0282
247.5097	55.9926	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	250.0097
310.5094	52.3735	augmented	response	active	sounds/track11.wav	black	black	true	313.0094
373.4924	56.0092	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	375.9924
436.4922	3.739	sequential	response	memory	n/a	red	red	true	438.9922
450.4903	55.9927	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	452.9903
513.4901	31.3512	concurrent	response	active	sounds/track5.wav	red	red	true	515.9901
