onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5016	55.9928	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	5.0016
65.5013	18.2709	sequential	response	active	sounds/track18.wav	red	red	true	68.0013
93.4975	55.9928	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	95.9975
156.4975	4.4394	concurrent	response	memory	n/a	black	black	true	158.9975
170.4954	55.9929	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	172.9954
233.4952	6.2917	sequential	response	memory	n/a	red	red	true	235.9952
254.5008	56.0091	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	257.0008
317.5006	40.1272	augmented	response	active	sounds/track11.wav	black	red	false	320.0006
373.5097	55.9929	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	376.0097
436.4929	12.5648	concurrent	response	active	sounds/track5.wav	red	black	false	438.9929
464.5058	56.0091	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	467.0058
527.4889	6.9089	augmented	response	memory	n/a	black	black	true	529.9889
