onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.502	55.9956	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	5.002
65.5155	1.8355	sequential	response	memory	n/a	red	red	true	68.0155
79.5157	55.9784	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	82.0157
142.4962	5.1339	sequential	response	active	sounds/track15.wav	black	black	true	144.9962
163.4957	55.9859	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	165.9957
226.5088	1.9849	concurrent	response	active	sounds/track3.wav	black	red	false	229.0088
240.5084	55.9896	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	243.0084
303.5055	2.6846	augmented	response	memory	n/a	red	red	true	306.0055
317.5048	55.9739	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	320.0048
380.5013	4.539	augmented	response	active	sounds/track10.wav	black	red	false	383.0013
401.5165	55.985	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	404.0165
464.5142	2.534	concurrent	response	memory	n/a	red	red	true	467.0142
