onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5142	55.9805	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	5.0142
65.5126	44.504	augmented	response	active	sounds/track11.wav	black	black	true	68.0126
121.508	55.9771	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	124.008
184.5056	2.0858	sequential	response	memory	n/a	red	red	true	187.0056
198.5048	55.979	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	201.0048
261.5025	5.8008	concurrent	response	memory	n/a	black	red	false	264.0025
282.5017	55.9729	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	285.0017
345.4983	5.1677	augmented	response	memory	n/a	black	black	true	347.9983
366.4972	55.9816	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	368.9972
429.4939	10.7345	sequential	response	active	sounds/track18.wav	red	red	true	431.9939
450.5099	55.9739	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	453.0099
513.5074	11.3626	concurrent	response	active	sounds/track5.wav	red	red	true	516.0074
