onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5102	55.9808	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	5.0102
65.5234	3.6841	augmented	response	active	sounds/track10.wav	black	red	False	68.0234
79.5223	55.9862	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	82.0223
142.5197	3.0684	concurrent	response	memory	n/a	red	black	False	145.0197
156.5183	55.9851	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	159.0183
219.5162	2.6182	sequential	response	memory	n/a	red	black	False	222.0162
233.5148	55.9862	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	236.0148
296.5128	3.268	augmented	response	memory	n/a	red	black	False	299.0128
310.5286	55.989	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	313.0286
373.5081	2.4849	concurrent	response	active	sounds/track3.wav	black	black	True	376.0081
387.5245	55.9901	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	390.0245
450.5207	3.4251	sequential	response	active	sounds/track15.wav	black	black	True	453.0207
