onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5018	55.9928	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	5.0018
65.5014	6.7087	augmented	response	memory	n/a	red	red	True	68.0014
86.5235	55.9928	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	89.0235
149.5233	55.9927	augmented	response	active	sounds/track10.wav	black	black	True	152.0233
219.5304	55.9757	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	222.0304
282.5133	4.2067	concurrent	response	active	sounds/track3.wav	black	black	True	285.0133
296.5281	55.9758	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	299.0281
359.511	10.9471	sequential	response	memory	n/a	red	red	True	362.011
380.5165	55.9928	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	383.0165
443.4996	4.2402	concurrent	response	memory	n/a	red	black	False	445.9996
457.4977	55.9924	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	459.9977
520.4972	39.5109	sequential	response	active	sounds/track15.wav	black	black	True	522.9972
