onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5013	56.0092	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	5.0013
65.4846	5.8398	augmented	response	active	sounds/track11.wav	black	black	true	67.9846
86.49	55.9929	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	88.99
149.5066	0.6357	concurrent	response	active	sounds/track5.wav	red	red	true	152.0066
163.4879	55.993	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	165.9879
226.5045	1.003	sequential	response	memory	n/a	red	black	false	229.0045
240.5027	55.9759	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	243.0027
303.4858	1.9369	sequential	response	active	sounds/track18.wav	red	red	true	305.9858
317.5007	55.9926	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	320.0007
380.4839	0.5021	augmented	response	memory	n/a	black	black	true	382.9839
394.4986	56.0092	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	396.9986
457.4818	5.6408	concurrent	response	memory	n/a	black	red	false	459.9818
