onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5013	55.9929	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	5.0013
65.5012	46.8177	augmented	response	active	sounds/track11.wav	black	black	true	68.0012
128.5011	55.9927	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	131.0011
191.5008	2.7549	concurrent	response	memory	n/a	black	black	true	194.0008
205.5157	55.9928	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	208.0157
268.4988	1.6198	sequential	response	active	sounds/track18.wav	red	red	true	270.9988
282.497	56.0091	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	284.997
345.4969	3.8056	augmented	response	memory	n/a	black	black	true	347.9969
359.4949	55.9929	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	361.9949
422.4947	1.3017	sequential	response	memory	n/a	red	red	true	424.9947
436.4928	55.9928	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	438.9928
499.5093	4.9735	concurrent	response	active	sounds/track5.wav	red	black	false	502.0093
