onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5017	55.9927	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	5.0017
65.5015	4.1213	concurrent	response	memory	n/a	red	black	false	68.0015
79.4996	55.9927	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	81.9996
142.4826	3.0883	augmented	response	memory	n/a	red	red	true	144.9826
156.4807	55.9927	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	158.9807
219.4804	31.5516	augmented	response	active	sounds/track10.wav	black	red	false	221.9804
261.4915	55.9928	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	263.9915
324.4746	3.9224	sequential	response	memory	n/a	red	red	true	326.9746
338.4894	56.009	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	340.9894
401.4891	30.7674	sequential	response	active	sounds/track15.wav	black	black	true	403.9891
443.4835	55.9928	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	445.9835
506.4832	4.9403	concurrent	response	active	sounds/track3.wav	black	black	true	508.9832
