onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5183	55.9762	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	5.0183
65.5181	14.1166	concurrent	response	active	sounds/track3.wav	black	black	true	68.0181
93.5145	55.9929	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	96.0145
156.5145	3.572	augmented	response	active	sounds/track10.wav	black	black	true	159.0145
170.4958	56.0094	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	172.9958
233.4958	5.4075	augmented	response	memory	n/a	red	red	true	235.9958
254.5014	55.993	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	257.0014
317.5179	1.1362	sequential	response	active	sounds/track15.wav	black	black	true	320.0179
331.4994	55.9928	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	333.9994
394.4993	4.7065	sequential	response	memory	n/a	red	black	false	396.9993
415.5049	55.9929	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	418.0049
478.4881	1.0359	concurrent	response	memory	n/a	red	red	true	480.9881
