onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.511	55.9802	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	5.011
65.5063	11.3055	sequential	response	active	sounds/track18.wav	red	red	true	68.0063
86.4886	55.991	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	88.9886
149.5192	7.3515	augmented	response	memory	n/a	black	black	true	152.0192
170.5017	55.9855	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	173.0017
233.4985	2.4015	sequential	response	memory	n/a	red	red	true	235.9985
247.5145	55.985	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	250.0145
310.5119	5.5344	concurrent	response	memory	n/a	black	black	true	313.0119
331.5117	55.981	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	334.0117
394.5085	12.2551	concurrent	response	active	sounds/track5.wav	red	red	true	397.0085
422.5225	55.9789	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	425.0225
485.5037	39.534	augmented	response	active	sounds/track11.wav	black	black	true	488.0037
