onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5021	55.9952	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	5.0021
65.5164	24.145	concurrent	response	active	sounds/track3.wav	black	red	false	68.0164
100.4983	55.9855	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	102.9983
163.5122	36.1664	sequential	response	active	sounds/track15.wav	black	black	true	166.0122
212.4928	55.9903	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	214.9928
275.523	10.669	augmented	response	active	sounds/track10.wav	black	black	true	278.023
296.5045	55.9855	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	299.0045
359.5026	7.2516	augmented	response	memory	n/a	red	black	false	362.0026
380.5012	55.9811	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	383.0012
443.5145	3.7193	sequential	response	memory	n/a	red	red	true	446.0145
457.5139	55.9816	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	460.0139
520.511	4.4347	concurrent	response	memory	n/a	red	black	false	523.011
