onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5149	55.9788	sequential	listen	n/a	sounds/track18.wav	n/a	n/a	n/a	5.0149
65.5119	18.1516	sequential	response	active	sounds/track18.wav	red	red	true	68.0119
93.5106	55.9808	augmented	listen	n/a	sounds/track11.wav	n/a	n/a	n/a	96.0106
156.5076	32.56	augmented	response	active	sounds/track11.wav	black	black	true	159.0076
205.5053	55.9903	concurrent	listen	n/a	sounds/track5.wav	n/a	n/a	n/a	208.0053
268.5032	12.0507	concurrent	response	active	sounds/track5.wav	red	black	false	271.0032
296.5018	55.9899	augmented	listen	n/a	sounds/track9.wav	n/a	n/a	n/a	299.0018
359.498	2.5019	augmented	response	memory	n/a	black	black	true	361.998
373.5142	55.9729	sequential	listen	n/a	sounds/track16.wav	n/a	n/a	n/a	376.0142
436.4946	4.3353	sequential	response	memory	n/a	red	red	true	438.9946
450.5106	55.9744	concurrent	listen	n/a	sounds/track4.wav	n/a	n/a	n/a	453.0106
513.5086	6.718	concurrent	response	memory	n/a	black	red	false	516.0086
