onset	duration	trial_type	task	response_type	stim_file	correct_answer	answer	is_correct	sparse
2.5101	55.9855	augmented	listen	n/a	sounds/track12.wav	n/a	n/a	n/a	5.0101
65.5086	9.4385	augmented	response	memory	n/a	red	red	true	68.0086
86.5061	55.9954	concurrent	listen	n/a	sounds/track6.wav	n/a	n/a	n/a	89.0061
149.5204	4.1023	concurrent	response	memory	n/a	red	red	true	152.0204
163.5202	55.9759	sequential	listen	n/a	sounds/track17.wav	n/a	n/a	n/a	166.0202
226.5178	5.1002	sequential	response	memory	n/a	red	red	true	229.0178
247.5166	55.9859	concurrent	listen	n/a	sounds/track3.wav	n/a	n/a	n/a	250.0166
310.5139	13.7501	concurrent	response	active	sounds/track3.wav	black	red	false	313.0139
338.5113	55.9857	augmented	listen	n/a	sounds/track10.wav	n/a	n/a	n/a	341.0113
401.5095	50.3364	augmented	response	active	sounds/track10.wav	black	black	true	404.0095
464.5061	55.9912	sequential	listen	n/a	sounds/track15.wav	n/a	n/a	n/a	467.0061
527.5204	11.0176	sequential	response	active	sounds/track15.wav	black	black	true	530.0204
